Change Component Comment : Designator=D9_L4 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L3 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L2 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L1 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L28 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L27 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L26 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L25 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L24 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L23 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L22 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L21 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L20 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L19 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L18 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L17 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L16 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L15 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L14 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L13 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L12 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L11 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L10 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L9 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L8 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L7 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L6 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L5 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L4 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L3 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L2 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D8_L1 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L28 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L27 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L26 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L25 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L24 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L23 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L22 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L21 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L20 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L19 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L18 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L17 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L16 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L15 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L14 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L13 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L12 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L11 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L10 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L9 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L8 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L7 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L6 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L5 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L4 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L3 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L2 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D7_L1 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D6_7SEG4 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D6_7SEG3 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D6_7SEG2 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D6_7SEG1 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=R3 Old Comment=RK73B1HTTC472J New Comment=RES4.7K
Change Component Comment : Designator=R2 Old Comment=RK73B1HTTC472J New Comment=RES4.7K
Change Component Comment : Designator=R1 Old Comment=RK73B1HTTC472J New Comment=RES4.7K
Change Component Comment : Designator=D1 Old Comment=SM712 New Comment=SM712-02HTG
