Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=MPN~String~MPN~100|Field=Quantity~Integer~Quantity~100|Field=Supplier~String~Supplier~100|Field=Supplier PN~String~Supplier PN~100|Field=Value~String~Value~100|ReportField=ProjectFileName~EXCHANGEDISPLAY.PRJPCB|ReportField=ProjectFullPath~E:\development\DivisasDisplay\PCB\ForeignExchangeDisplay\EXCHANGEDISPLAY.PRJPCB|ReportField=Title~Bill of Materials For Project [EXCHANGEDISPLAY.PRJPCB] (No PCB Document Selected)|ReportField=TotalQuantity~256|ReportField=ReportTime~12:42:33 p.m.|ReportField=ReportDate~27/02/2015|ReportField=ReportDateTime~27/02/2015 12:42:33 p.m.|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~ReportComponents|ReportField=GeneratorDescription~Component Reports|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~27/02/2015|ReportField=CurrentTime~12:39:49 p.m.|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\development\DivisasDisplay\PCB\ForeignExchangeDisplay\ExchangeDisplay.SchDoc|ReportField=DocumentName~ExchangeDisplay.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~18/02/2015|ReportField=Organization~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~EXCHANGEDISPLAY.PRJPCB|ReportField=DataSourceFullPath~E:\development\DivisasDisplay\PCB\ForeignExchangeDisplay\EXCHANGEDISPLAY.PRJPCB
TVS5.0V|Diodos TVS - Supresores de tensión transitoria 5Vr 600W 65.3A 5% UniDirectional|D16|SMBJ5.0A|TVS5.0V|SMBJ5.0A|1|Mouser|576-SMBJ5.0A|5.0 V
RJ45|Conectores modulares / Conectores Ethernet 8 PCB LO PRO R/A|J1_BUS2, J1_BUS3|15-43-6233|15-43-6233|5555164-1|2|Mouser|571-5555164-1|RJ45
ISP|Alojamientos de cables y cabecera 2X03P DUAL ROW|P1|HDR2X3|Header 3X2|826925-3|1|Mouser|571-826925-3|6 POS
MJD117|Transistores Darlington PNP Silicon Darl|Q1_Row1, Q1_Row2, Q1_Row3, Q1_Row4, Q1_Row5, Q1_Row6, Q1_Row7|MJD117|MJD117|MJD117TF|7|Mouser|512-MJD117TF|PNP
RES4.7K|Resistores de película gruesa - SMD 1/10watt 4.7Kohms 1%|R1, R2, R3, R4, R5, R8|RES0603|RES4.7K|CRCW06034K70FKEA|6|Mouser|71-CRCW0603-4.7K-E3|4.7K
RES470|Resistores de película gruesa - SMD 1watt 470ohms 5%|R6_Row1, R6_Row2, R6_Row3, R6_Row4, R6_Row5, R6_Row6, R6_Row7, R7_Row1, R7_Row2, R7_Row3, R7_Row4, R7_Row5, R7_Row6, R7_Row7, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32|RES2512|RES470|CRCW2512470RJNEG|38|Mouser|71-CRCW2512J-470-E3|470
SW-PB|Switch|S1|microswitch|SW-PB|PTS635SL43SMTR LFS|1|Newark|611-PTS635SL43SMTRLF|OFF - (ON)
MAX485CSA|Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceiver|U1|NSO8_N|MAX485CSA|MAX485CSA+|1|Mouser|700-MAX485CSA|RS485
ATmega1284P-AU|20 MHz 8-bit AVR Microcontroller with 128KB Flash, 44-Pin TQFP Pkg, Industrial Temp|U2|44A_N|ATmega1284P-AU|ATMEGA1284P-AU|1|Mouser|556-ATMEGA1284P-AU|ATMEGA1284P
POWER SHIFT REG|Registros de cambio de contadores 8bit Shift|U3_REG1, U3_REG2, U3_REG3|NPIC6C595_Q100_SOIC16|TPIC6C595DR / NPIC6C595D|NPIC6C595D-Q100|3|Mouser|771-NPIC6C595D-Q100|8 bits shift register
MC7805CDTRKG|Reguladores de tensión lineal 5V 1A Postive|U4|MC7805CDTRKG|MC7805CDTRKG|MC7805CDTRKG|1|Mouser|863-MC7805CDTRKG|5.0 V / 1.0 A
SN74LS145DR|Codificadores, decodificadores, multiplexores y demultiplexores BCD-To-Decimal Decoders/Drivers|U5|SOIC16|SN74LS145DR|SN74LS145DR|1|Mouser|595-SN74LS145DR|BCD
XTAL|Cristales 20MHz 16pF -10C +70C|Y1|Crystal20MHz|XTAL|ECS-200-16-5PX-TR|1|Mouser|520-ECS-200-16-5PX-T|20 MHz
